# abbr_inter_2017_02.tsvのユーザ回答を集計したファイル
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素前部中で原言語からの省略が起きて「いない」と回答したユーザ数	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素後部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素後部中で原言語からの省略が起きて「いない」と回答したユーザ数
43988	ダイキャスト	die cast	ダイ	die	abb:1	!abb:99	キャスト	cast	abb:1	!abb:99
44003	アメフェス	American festival	アメ	American	abb:100	!abb:0	フェス	festival	abb:100	!abb:0
44162	アルファロメオ	Alfa Romeo	アルファ	Alfa	abb:2	!abb:198	ロメオ	Romeo	abb:0	!abb:200
44238	ミルトンキーンズ	Milton Keynes	ミルトン	Milton	abb:0	!abb:199	キーンズ	Keynes	abb:0	!abb:199
44263	スタジャン	stadium jumper	スタ	stadium	abb:100	!abb:0	ジャン	jumper	abb:100	!abb:0
45178	カシュクール	cache coeur	カシュ	cache	abb:1	!abb:98	クール	coeur	abb:1	!abb:98
45421	アメコミ	American comic	アメ	American	abb:98	!abb:2	コミ	comic	abb:97	!abb:3
45515	ドンキホーテ	Don Quijote	ドン	Don	abb:0	!abb:200	キホーテ	Quijote	abb:3	!abb:197
45906	ゼタジョーンズ	Zeta Jones	ゼタ	Zeta	abb:1	!abb:99	ジョーンズ	Jones	abb:1	!abb:99
48458	オーエス	oh hisse	オー	oh	abb:2	!abb:98	エス	hisse	abb:11	!abb:89
82528	アフレコ	after recording	アフ	after	abb:291	!abb:4	レコ	recording	abb:294	!abb:1
83298	セットアップ	set up	セット	set	abb:1	!abb:99	アップ	up	abb:1	!abb:99
83307	セメンシナ	semen cinae	セメン	semen	abb:2	!abb:98	シナ	cinae	abb:7	!abb:93
83682	ハイファイ	hi fi	ハイ	hi	abb:2	!abb:198	ファイ	fi	abb:5	!abb:195
83756	バリコン	variable condenser	バリ	variable	abb:100	!abb:0	コン	condenser	abb:100	!abb:0
86058	フリーランサー	free lancer	フリー	free	abb:2	!abb:198	ランサー	lancer	abb:1	!abb:199
86066	プチブル	petit bourgeois	プチ	petit	abb:13	!abb:87	ブル	bourgeois	abb:99	!abb:1
86076	ブレークアウト	break out	ブレーク	break	abb:1	!abb:99	アウト	out	abb:1	!abb:99
86512	ホールドアウト	hold out	ホールド	hold	abb:1	!abb:198	アウト	out	abb:1	!abb:198
86513	ホールドアップ	hold up	ホールド	hold	abb:0	!abb:100	アップ	up	abb:0	!abb:100
86974	レイオフ	lay off	レイ	lay	abb:3	!abb:97	オフ	off	abb:1	!abb:99
87021	ロックアウト	lock out	ロック	lock	abb:0	!abb:100	アウト	out	abb:1	!abb:99
88229	エルサルバドル	El Salvador	エル	El	abb:2	!abb:98	サルバドル	Salvador	abb:1	!abb:99
88510	ギガビット	giga bit	ギガ	giga	abb:2	!abb:198	ビット	bit	abb:2	!abb:198
88520	グランゼコール	grandes ecoles	グランゼ	grandes	abb:12	!abb:186	コール	ecoles	abb:23	!abb:175
88531	サンノゼ	San Jose	サン	San	abb:2	!abb:98	ノゼ	Jose	abb:5	!abb:95
