# abbr_inter_2017_02.tsvのユーザ回答を集計したファイル
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID	原言語側で２つの部分に分割できるカタカナ「語彙素」	当該語彙素の原言語側での表記（スペース区切り）	原言語側の分割に従って分割した語彙素の前部	語彙素原言語側表記での前部	語彙素前部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素前部中で原言語からの省略が起きて「いない」と回答したユーザ数	原言語側の分割に従って分割した語彙素の後部	語彙素原言語側表記での後部	語彙素後部中で原言語からの省略が起きて「いる」と回答したユーザ数	語彙素後部中で原言語からの省略が起きて「いない」と回答したユーザ数
242212	レイバン	Ray Ban	レイ	Ray	abb:3	!abb:197	バン	Ban	abb:1	!abb:199
242294	カラバリ	color variation	カラ	color	abb:77	!abb:23	バリ	variation	abb:98	!abb:2
242386	シャサーニュモンラッシェ	Chassagne Montrachet	シャサーニュ	Chassagne	abb:0	!abb:98	モンラッシェ	Montrachet	abb:1	!abb:97
243577	ノーコン	no control	ノー	no	abb:2	!abb:198	コン	control	abb:198	!abb:2
243921	デルレイビーチ	Delray Beach	デルレイ	Delray	abb:3	!abb:295	ビーチ	Beach	abb:1	!abb:297
244754	クイウイ	cui ui	クイ	cui	abb:2	!abb:97	ウイ	ui	abb:2	!abb:97
244946	ティックボーン	tick borne	ティック	tick	abb:2	!abb:98	ボーン	borne	abb:1	!abb:99
244979	バーフェン	over fender	バー	over	abb:89	!abb:8	フェン	fender	abb:89	!abb:8
245434	ドンナイ	Dong Nai	ドン	Dong	abb:6	!abb:94	ナイ	Nai	abb:2	!abb:98
245982	デジアナ	digital analog	デジ	digital	abb:96	!abb:1	アナ	analog	abb:96	!abb:1
245984	アナアナ	analog analog	アナ	analog	abb:92	!abb:8	アナ	analog	abb:94	!abb:6
247616	フォートウェイン	fort Wayne	フォート	fort	abb:2	!abb:98	ウェイン	Wayne	abb:1	!abb:99
248662	セルフアドヒーシブ	self adhesive	セルフ	self	abb:0	!abb:100	アドヒーシブ	adhesive	abb:0	!abb:100
249733	ラリベルタッド	La libertad	ラ	La	abb:0	!abb:100	リベルタッド	libertad	abb:0	!abb:100
251574	グアウグアウ	guagu guau	グアウ	guagu	abb:15	!abb:282	グアウ	guau	abb:4	!abb:293
251705	パラメトキシベンジル	p methoxybenzyl	パラ	p	abb:15	!abb:85	メトキシベンジル	methoxybenzyl	abb:2	!abb:98
251956	ブルーベインド	blue veined	ブルー	blue	abb:1	!abb:98	ベインド	veined	abb:2	!abb:97
253646	パラトルエンスルホナート	p toluenesulfonate	パラ	p	abb:66	!abb:332	トルエンスルホナート	toluenesulfonate	abb:9	!abb:389
253656	トレスプンタス	Tres Puntas	トレス	Tres	abb:1	!abb:293	プンタス	Puntas	abb:1	!abb:293
254086	プンタコロナ	Punta Corona	プンタ	Punta	abb:0	!abb:100	コロナ	Corona	abb:0	!abb:100
254181	メグオームキロメートル	megohm km	メグオーム	megohm	abb:0	!abb:100	キロメートル	km	abb:9	!abb:91
254588	ネトサ	net surfing	ネト	net	abb:63	!abb:37	サ	surfing	abb:98	!abb:2
254613	オルトクロロメルクリフェノール	o chloromercuriphenol	オ	o	abb:14	!abb:186	ルトクロロメルクリフェノール	chloromercuriphenol	abb:15	!abb:185
255283	トンキロ	ton kilometer	トン	ton	abb:1	!abb:97	キロ	kilometer	abb:95	!abb:3
256444	チャリングクロス	Charing Cross	チャリング	Charing	abb:1	!abb:98	クロス	Cross	abb:0	!abb:99
257545	リトルロック	Little Rock	リトル	Little	abb:1	!abb:99	ロック	Rock	abb:0	!abb:100
257925	シスコン	sister complex	シス	sister	abb:98	!abb:2	コン	complex	abb:100	!abb:0
259399	ルペン	Le Pen	ル	Le	abb:2	!abb:96	ペン	Pen	abb:2	!abb:96
259632	ケアマネ	care manager	ケア	care	abb:2	!abb:97	マネ	manager	abb:97	!abb:2
259675	ムアンシン	Muang Xin	ムアン	Muang	abb:4	!abb:96	シン	Xin	abb:1	!abb:99
260178	ラロシェル	La Rochelle	ラ	La	abb:3	!abb:295	ロシェル	Rochelle	abb:2	!abb:296
261193	クロマルシリー	Cros Marcilly	クロ	Cros	abb:39	!abb:59	マルシリー	Marcilly	abb:1	!abb:97
261385	サンバーナディーノ	San Bernardino	サン	San	abb:5	!abb:192	バーナディーノ	Bernardino	abb:1	!abb:196
262028	バロッサバレー	Barossa Valley	バロッサ	Barossa	abb:5	!abb:95	バレー	Valley	abb:2	!abb:98
262610	ドクハラ	doctor harassment	ドク	doctor	abb:99	!abb:1	ハラ	harassment	abb:99	!abb:1
262965	メラピーク	Mera Peak	メラ	Mera	abb:7	!abb:293	ピーク	Peak	abb:1	!abb:299
263097	モンテローザ	Monte Rosa	モンテ	Monte	abb:0	!abb:98	ローザ	Rosa	abb:0	!abb:98
263443	リトルダンモウ	Little Dunmow	リトル	Little	abb:1	!abb:199	ダンモウ	Dunmow	abb:3	!abb:197
263450	レクルー	Les Cloux	レ	Les	abb:19	!abb:78	クルー	Cloux	abb:8	!abb:89
263939	ルンバントビン	Lumban Tobing	ルンバン	Lumban	abb:0	!abb:100	トビン	Tobing	abb:3	!abb:97
263981	ラホヤ	La Jolla	ラ	La	abb:1	!abb:199	ホヤ	Jolla	abb:6	!abb:194
264113	ホンガイ	Hon Gai	ホン	Hon	abb:2	!abb:98	ガイ	Gai	abb:2	!abb:98
264166	レスカ	lemon squash	レ	lemon	abb:495	!abb:4	スカ	squash	abb:491	!abb:8
264414	サクレクール	sacre coeur	サクレ	sacre	abb:1	!abb:99	クール	coeur	abb:0	!abb:100
264796	ミンハ	Minh ha	ミン	Minh	abb:1	!abb:99	ハ	ha	abb:1	!abb:99
264852	ハイウィコム	High Wycombe	ハイ	High	abb:4	!abb:196	ウィコム	Wycombe	abb:28	!abb:172
264976	レポマン	repossess man	レポ	repossess	abb:98	!abb:2	マン	man	abb:1	!abb:99
265416	サンタクルーズ	Santa Cruz	サンタ	Santa	abb:1	!abb:96	クルーズ	Cruz	abb:0	!abb:97
266286	ユージーランド	You zealand	ユー	You	abb:1	!abb:99	ジーランド	zealand	abb:0	!abb:100
266570	カンピーリアマリッティマ	Campiglia Marittima	カンピーリア	Campiglia	abb:1	!abb:98	マリッティマ	Marittima	abb:0	!abb:99
266682	インディアンウェルズ	Indian Wells	インディアン	Indian	abb:1	!abb:99	ウェルズ	Wells	abb:0	!abb:100
267522	ウエ	Ou est	ウ	Ou	abb:32	!abb:167	エ	est	abb:90	!abb:109
268054	レズリス	Les Ulis	レズ	Les	abb:7	!abb:93	リス	Ulis	abb:11	!abb:89
272476	ウスチオルディンスキー	Ust Ordynskii	ウスチ	Ust	abb:2	!abb:97	オルディンスキー	Ordynskii	abb:0	!abb:99
272481	クアンチ	Quang tri	クアン	Quang	abb:4	!abb:95	チ	tri	abb:17	!abb:82
272595	カマウ	Ca Mau	カ	Ca	abb:2	!abb:97	マウ	Mau	abb:1	!abb:98
272869	パマル	pas mal	パ	pas	abb:37	!abb:63	マル	mal	abb:3	!abb:97
276302	ナイハーン	Nai Harn	ナイ	Nai	abb:3	!abb:97	ハーン	Harn	abb:2	!abb:98
276668	コンティキ	Kon Tiki	コン	Kon	abb:3	!abb:197	ティキ	Tiki	abb:4	!abb:196
276839	マウントアイザ	Mount Isa	マウント	Mount	abb:1	!abb:99	アイザ	Isa	abb:2	!abb:98
276931	ダブスタ	double standard	ダブ	double	abb:283	!abb:14	スタ	standard	abb:296	!abb:1
277671	バスドラ	bass drum	バス	bass	abb:3	!abb:97	ドラ	drum	abb:89	!abb:11
281318	オールペン	all paint	オール	all	abb:0	!abb:100	ペン	paint	abb:87	!abb:13
289570	ウンヤンエンベ	Unyan yembe	ウンヤン	Unyan	abb:1	!abb:99	エンベ	yembe	abb:2	!abb:98
302170	セルフサポート	self support	セルフ	self	abb:6	!abb:292	サポート	support	abb:4	!abb:294
311715	ハファダイ	Hafa Adai	ハファ	Hafa	abb:4	!abb:296	ダイ	Adai	abb:48	!abb:252
311849	ニューホランド	New Holland	ニュー	New	abb:0	!abb:100	ホランド	Holland	abb:0	!abb:100
312002	フォートリー	Fort Lee	フォート	Fort	abb:2	!abb:98	リー	Lee	abb:1	!abb:99
317220	タンジョンプリヨク	Tanjung Priok	タンジョン	Tanjung	abb:0	!abb:98	プリヨク	Priok	abb:2	!abb:96
323883	ジムニードフレツ	Zimniy Dvorets	ジムニー	Zimniy	abb:0	!abb:100	ドフレツ	Dvorets	abb:0	!abb:100
323931	アミルアルコール	amyl alcohol	アミル	amyl	abb:3	!abb:97	アルコール	alcohol	abb:0	!abb:100
324022	シエラマドレ	Sierra Madre	シエラ	Sierra	abb:0	!abb:98	マドレ	Madre	abb:1	!abb:97
324036	サンクルー	Saint Cloud	サン	Saint	abb:30	!abb:69	クルー	Cloud	abb:28	!abb:71
324143	サンジュアン	Sant Joan	サン	Sant	abb:15	!abb:85	ジュアン	Joan	abb:0	!abb:100
324165	サンシルベストロ	San Silvestro	サン	San	abb:1	!abb:99	シルベストロ	Silvestro	abb:0	!abb:100
324219	セントメアリーズ	Saint Marys	セント	Saint	abb:7	!abb:292	メアリーズ	Marys	abb:3	!abb:296
324864	サンミエル	Saint Mihiel	サン	Saint	abb:31	!abb:69	ミエル	Mihiel	abb:4	!abb:96
325840	グレアムランド	Graham Land	グレアム	Graham	abb:0	!abb:99	ランド	Land	abb:0	!abb:99
325961	クエ	Ku yeh	ク	Ku	abb:1	!abb:99	エ	yeh	abb:6	!abb:94
326367	ラヘイサント	Haye Saint	ラヘイ	Haye	abb:3	!abb:97	サント	Saint	abb:1	!abb:99
326368	ベルアリアンス	Belle Alliance	ベル	Belle	abb:4	!abb:296	アリアンス	Alliance	abb:1	!abb:299
326508	ラスビラス	Las Villas	ラス	Las	abb:0	!abb:100	ビラス	Villas	abb:0	!abb:100
327025	ブロークンヒル	Broken Hill	ブロークン	Broken	abb:2	!abb:198	ヒル	Hill	abb:3	!abb:197
327147	ウィルクスランド	Wilkes Land	ウィルクス	Wilkes	abb:0	!abb:100	ランド	Land	abb:0	!abb:100
327233	セントパンクラス	St Pancras	セント	St	abb:4	!abb:94	パンクラス	Pancras	abb:0	!abb:98
327254	モンブラン	Mont Blanc	モン	Mont	abb:17	!abb:80	ブラン	Blanc	abb:8	!abb:89
327261	メキシコシティ	Mexico City	メキシコ	Mexico	abb:1	!abb:99	シティ	City	abb:1	!abb:99
327757	ジャンヌダルク	Jeanne dArc	ジャンヌ	Jeanne	abb:0	!abb:198	ダルク	dArc	abb:0	!abb:198
327769	サンピエール	Saint Pierre	サン	Saint	abb:70	!abb:130	ピエール	Pierre	abb:1	!abb:199
327770	サンブラス	San Blas	サン	San	abb:1	!abb:97	ブラス	Blas	abb:2	!abb:96
329388	ファテープルシークリー	Fatehpur Sikri	ファテープル	Fatehpur	abb:2	!abb:96	シークリー	Sikri	abb:0	!abb:98
333820	ニューアイルランド	New Ireland	ニュー	New	abb:0	!abb:100	アイルランド	Ireland	abb:0	!abb:100
338060	オレ	au lait	オ	au	abb:8	!abb:92	レ	lait	abb:31	!abb:69
