# ref_src_2019_03.tsv をマルチクラスのGLAD法で品質評価した結果
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID_1	語彙素読み1	語彙素1	語彙素ID_2	語彙素読み2	語彙素2	2つの語彙素が近しい意味を持つ確率
227090	ナガレナガレル	流れ流れる	199216	ナガレトブ	流れ飛ぶ	0.843071
87369	ヨリアツマル	寄り集まる	172679	ヨリツドウ	寄り集う	0.999968
311936	ビューイング	ビューイング-viewing	43527	ビュー	ビュー-view	0.867199
2931	ウインドー	ウインドー-window	93203	ウインド	ウインド-wind	0.859778
90481	タケリキオウ	猛り気負う	22248	タケル	猛る	0.881524
89672	サキカケル	咲き掛ける	13951	サキ	咲き	0.923763
62850	ネチガエル	寝違える	191660	ネチガエ	寝違え	0.993369
888	アナウンス	アナウンス-announce	120756	アナ	アナ-announcer	0.961328
98324	ユリカ	百合科	38922	ユリ	百合	0.999125
252434	ジアルキルアミノアルキル	ジアルキルアミノアルキル-dialkylaminoalkyl	251117	ジアルキルアミノ	ジアルキルアミノ-dialkylamino	0.911437
92136	アラソイヨム	争い読む	1138	アラソイ	争い	0.998944
310832	サブジェクティブ	サブジェクティブ-subjective	14349	サブジェクト	サブジェクト-subject	0.9984
120214	アラモード	アラモード-a la mode	1163	アラモ	アラモ-Alamo	0.912649
160734	キリハナツ	切り放つ	9554	キル	切る	0.967791
196200	ミニコンピューター	ミニコンピューター-minicomputer	196252	ミニコン	ミニコン-minicomputer	0.920173
170966	カキタリル	書き足りる	6124	カク	書く	0.814813
171828	オヨギモドル	泳ぎ戻る	5312	オヨグ	泳ぐ	0.965885
185915	フリーランス	フリーランス-freelance	86047	フリー	フリー-flea	0.961542
31084	パートナーシップ	パートナーシップ-partnership	31083	パートナー	パートナー-partner	0.999996
8444	キコエル	聞こえる	8443	キコエ	聞こえ	1.0
87052	アズケイレル	預け入れる	691	アズケイレ	預け入れ	0.999385
82534	アポイントメント	アポイントメント-appointment	987	アポイント	アポイント-appointment	0.997504
90870	トビイデル	飛び出でる	193218	トビダシ	飛び出し	0.999981
91167	ニゲカクレル	逃げ隠れる	231135	ニゲネバル	逃げ粘る	0.948869
37368	メガワット	メガワット	154866	メガ	メガ-mega	0.888708
30297	ハレル	腫れる	64046	ハレ	腫れ	0.999899
219770	パティシエール	パティシエール	138940	パティシエ	パティシエ-patissier	0.999786
18465	ジョイント	ジョイント-joint	310933	ジョイン	ジョイン-join	0.992936
195881	トジアワセル	綴じ合わせる	24650	ツヅリ	綴り	0.950977
195876	ナキヤメル	泣き止める	92498	ナキヤム	泣き止む	0.997556
195869	ツメアワセル	詰め合わせる	90652	ツメアワス	詰め合わす	1.0
83513	テロリスト	テロリスト-terrorist	25326	テロ	テロ-terrorism	0.919944
10628	クローズド	クローズド-closed	132833	クローズ	クローズ-clause	0.999721
95099	アメリカナイゼーション	アメリカナイゼーション-Americanization	120642	アメリカズ	アメリカズ-America's	0.812746
29545	ハキチガエル	履き違える	310344	ハキチガエ	履き違え	1.0
294182	フキキタル	吹き来たる	89422	フキクル	吹き来る	0.9915
293581	ウレイル	憂いる	42241	ウレイ	憂い	0.983563
212887	カチヌキ	勝ち抜き	71475	マサリ	勝り	0.995407
3793	エコノミー	エコノミー-economy	3786	エコ	エコ-eco	0.956847
99897	アメリカニズム	アメリカニズム-Americanism	1062	アメリカン	アメリカン-American	0.836876
19149	スコアボード	スコアボード-scoreboard	19147	スコア	スコア-score	0.916786
172507	タシカメアウ	確かめ合う	22271	タシカメル	確かめる	0.9948
18108	ジャニーズ	ジャニーズ	236166	ジャニ	ジャニ	0.993555
92455	スレカウ	擦れ交う	19536	スル	擦る	0.856438
92423	マクリアゲル	捲り上げる	37375	メクル	捲る	0.990071
306019	ヒキチヂメル	引き縮める	318940	ヒキシリゾク	引き退く	0.835223
71590	トビサル	飛び去る	26545	トビ	飛び	0.994495
119937	ウナリゴエ	唸り声	3338	ウナル	唸る	0.999988
48160	カキワケル	書き分ける	6103	カキワケ	書き分け	0.995357
188481	スシネタ	寿司ねた	175504	スシダネ	寿司種	0.859279
313373	トキオヨボス	説き及ぼす	60583	トキオヨブ	説き及ぶ	0.899773
319263	ツルシサゲル	吊るし下げる	24833	ツルシ	吊るし	0.903292
22074	タカマリ	高まり	87883	タカメ	高め	0.904169
132457	オートマット	オートマット-automat	43834	オート	オート-auto	0.89515
13230	コントリビューション	コントリビューション-contribution	310772	コントリビュート	コントリビュート	0.998383
132441	オルトルイズム	オルトルイズム-altruism	88319	オルト	オルト-alternative	0.852682
93556	アグリビジネス	アグリビジネス-agribusiness	120738	アグリ	アグリ-agriculture	0.954759
236607	アロエベラ	アロエベラ	1288	アロエ	アロエ-aloe	0.991148
93602	ノリアゲ	乗り上げ	102213	ノセ	乗せ	0.938407
236852	テカリオサエ	てかり押さえ	237067	テカリドメ	てかり止め	0.929203
92328	ドナリアゲル	怒鳴り上げる	92330	ドナリカエス	怒鳴り返す	0.917872
92329	ドナリチラス	怒鳴り散らす	27307	ドナリコム	怒鳴り込む	0.853098
9502	キリカエル	切り替える	9499	キリカエ	切り替え	0.992692
36934	ミワケル	見分ける	36933	ミワケ	見分け	0.999975
36374	ミサダメル	見定める	66547	ミサダメ	見定め	0.997039
24528	ツギキ	接ぎ木	46313	ツギ	接ぎ	0.867197
169899	カブキオドリ	歌舞伎踊り	7009	カブキ	歌舞伎	0.905888
172177	ウナリオチル	唸り落ちる	3335	ウナリ	唸り	0.895072
199579	カタリカエル	語り変える	210018	カタリカエ	語り変え	0.998969
89950	マザリアウ	混ざり合う	194407	マザリモノ	混ざり物	0.866271
175944	ヨガリクルウ	善がり狂う	196422	ヨガリゴエ	善がり声	0.806171
175884	タレオチル	垂れ落ちる	237221	タレオチ	垂れ落ち	0.992682
24576	ツケクワエル	付け加える	59793	ツケタス	付け足す	0.998151
246418	アンダーウエア	アンダーウエア-underwear	1376	アンダー	アンダー-under	0.917514
24674	ツナギアワセル	繋ぎ合わせる	24677	ツナグ	繋ぐ	0.841027
134593	ブロードキャスティング	ブロードキャスティング-broadcasting	249384	ブロードキャスター	ブロードキャスター-broadcaster	0.917011
34597	ホエル	吠える	310314	ホエ	吠え	0.959665
90215	アミススメル	編み進める	90214	アミススム	編み進む	0.968785
90468	ヤケコゲル	焼け焦げる	38220	ヤケコゲ	焼け焦げ	0.998581
12605	コゲル	焦げる	12602	コゲ	焦げ	0.994498
209948	カチズモウ	勝ち相撲	174544	カチシオ	勝ち潮	0.927775
256861	カタライヨル	語らい寄る	6683	カタライ	語らい	0.998343
257063	カキイダス	掻き出だす	6075	カキダス	掻き出す	0.993073
224045	スベリアガル	滑り上がる	62756	ヌメル	滑る	0.959372
32352	フェスタ	フェスタ-festa	183877	フェス	フェス-festival	0.999589
90155	モウシアワス	申し合わす	258021	モウシアウ	申し合う	0.997189
38776	ユガメル	歪める	64735	ヒズム	歪む	0.99969
38222	ヤケダス	焼け出す	38118	ヤキ	焼き	0.879544
29260	ノリダス	乗り出す	198330	ノリデ	乗り出	0.981065
26762	トリイレ	取り入れ	237248	トリモノ	取り物	0.947004
3230	ウチツケル	打ち付ける	47930	ウチツケ	打ち付け	0.996389
2997	ウォッチング	ウォッチング-watching	44646	ウォッチ	ウォッチ-watch	0.991739
