# ref_src_2019_03.tsv をマルチクラスのGLAD法で品質評価した結果
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID_1	語彙素読み1	語彙素1	語彙素ID_2	語彙素読み2	語彙素2	2つの語彙素が近しい意味を持つ確率22269	タシアワセル	足し合わせる	22268	タシアワス	足し合わす	0.99225
245397	チオホスフエイト	チオホスフエイト-thiophosphate	175242	チオ	チオ	0.002587
133350	ジャミング	ジャミング-jamming	18122	ジャミン	ジャミン	0.000368
133379	スカラブ	スカラブ-scarab	19035	スカ	スカ-ska	2.7e-05
133311	シーベルト	シーベルト-sievert	93123	シー	シー-sea	0.0
133315	シーロメータ	シーロメータ-ceilometer	18865	シー	シー-see	7e-06
133383	スカーレット	スカーレット-scarlet	19035	スカ	スカ-ska	0.003097
133387	スキャンティー	スキャンティー-scanty	19079	スキャン	スキャン-scan	0.003244
133381	スカラムーシュ	スカラムーシュ-Scaramouche	19035	スカ	スカ-ska	2e-05
133382	スカンジウム	スカンジウム-scandium	19035	スカ	スカ-ska	5.2e-05
63105	ノリステル	乗り捨てる	98441	ノリゴコチ	乗り心地	6e-06
63719	ハナレウマ	放れ馬	34589	ホウル	放る	0.0
62721	ヌキツラネル	抜き連ねる	93510	ヌキギリ	抜き伐り	0.0
6286	カケツケル	駆け付ける	267964	カケデ	駆け出	1.5e-05
62124	ナキフス	泣き伏す	27759	ナキ	泣き	0.000298
62401	ナマヅケ	生漬け	28062	ナル	生る	0.004596
63070	ノミアカス	飲み明かす	29217	ノミクイ	飲み食い	0.004352
63104	ノリススメル	乗り進める	92133	ノリハナス	乗り放す	0.002735
62909	ネリアワセル	練り合わせる	92639	ネリアワス	練り合わす	1.0
62912	ネリナオス	練り直す	62915	ネリモノ	練り物	0.002482
173954	アファレンシス	アファレンシス	136893	アフ	アフ	0.00321
174056	ヨミキカセル	読み聞かせる	191472	ヨミキカス	読み聞かす	0.94987
173689	ヤケツキル	焼け尽きる	199813	ヤケチヂム	焼け縮む	0.015107
173796	マルマキ	丸巻き	154136	マルビ	丸び	0.000559
169068	カシーケ	カシーケ-cacique	209823	カシー	カシー	0.022864
169028	ヒキワリ	引き割り	246180	ヒキダマ	引き玉	0.003529
173448	プロテイオス	プロテイオス	120877	プロ	プロ-production	0.016874
173588	イジリタオス	弄り倒す	195973	モテアソビ	弄び	0.000416
168867	メテオロイド	メテオロイド-meteoroid	215201	メテオ	メテオ-meteor	0.000484
168798	ローズウッド	ローズウッド-rosewood	280264	ロー	ロー-row	9e-06
168893	チャンネン	チャンネン	171693	チャン	チャン-channel	2.1e-05
168893	チャンネン	チャンネン	136631	チャン	チャン	0.001129
168682	プラマイ	プラマイ-plus minus	183284	プラ	プラ-plastics	5e-06
168622	バンカシュランス	バンカシュランス-bank-assurance	100422	バン	バン-vin	0.013156
168798	ローズウッド	ローズウッド-rosewood	259889	ロー	ロー-raw	0.001195
168744	インティファーダ	インティファーダ-intifada	274454	インテ	インテ	0.0
6086	カキナラス	掻き鳴らす	6122	カク	掻く	0.381875
6086	カキナラス	掻き鳴らす	6042	カキ	掻き	0.020617
6080	カキトリ	書き取り	6124	カク	書く	0.943479
6060	カキオコシ	書き起こし	6080	カキトリ	書き取り	0.400785
6054	カキアツメル	掻き集める	6042	カキ	掻き	0.509478
5971	カエリギワ	帰り際	5969	カエリ	帰り	0.99224
5958	カウンターバランス	カウンターバランス-counterbalance	5957	カウンター	カウンター-counter	0.000222
5885	カイヒカエル	買い控える	5888	カイビカエ	買い控え	0.999656
132037	アルビーノ	アルビーノ-albino	136898	アル	アル-al	0.006969
132035	アルニカ	アルニカ-Arnica	255344	アル	アル	0.031328
132027	アルキン	アルキン-alkyne	189385	アルキ	アルキ-Harki	0.003785
132026	アルガリ	アルガリ-argali	136898	アル	アル-al	0.032927
179827	アワセヨム	合わせ読む	217363	アワセニ	合わせ煮	0.0
131996	アマランサス	アマランサス-Amaranthus	268211	アマラント	アマラント-Amarantite	0.001869
6386	カザリタテ	飾り立て	6385	カザリ	飾り	0.236155
6267	カケアワセル	掛け合わせる	6262	カケアイ	掛け合い	0.386135
31061	パンフレット	パンフレット-pamphlet	134317	パン	パン-pan（鍋）	0.001095
164585	タイガーホーラー	タイガーホーラー	21704	タイガー	タイガー-tiger	0.012162
164518	ホールセール	ホールセール-wholesale	86507	ホール	ホール-whole	1.6e-05
164470	ビルド	ビルド-build	32120	ビル	ビル-building	0.033535
16421	シュトーレン	シュトーレン-stollen	155886	シュ	シュ	0.001144
